Power_mW	Cell.size_um2	target_cell_induction	neighborings_induction	local_cells_induction	cell_death
7	795.596	1	1	1	0
7	4114.929	0	0	0	0
7	616.055	1	0	1	0
7	898.276	1	1	1	0
7	3532.208	0	0	0	0
7	3364.966	0	0	0	0
13	1076.049	0	1	1	0
13	3393.776	0	1	1	0
6.5	1140.923	0	0	0	0
6.5	2478.469	1	0	1	0
6.5	1949.103	0	0	0	0
6.5	3203.783	0	0	0	0
12	2305.949	1	1	1	0
12	2669.684	1	1	1	0
12	1654.869	1	1	1	0
12	2841.139	NA	NA	NA	1
6	1129.352	1	0	1	0
6	1905.03	0	0	0	0
6	986.187	0	0	0	0
6	2952.113	0	0	0	0
11	1391.526	1	1	1	0
11	2330.676	1	1	1	0
11	2967.376	1	1	1	0
11	2525.688	0	1	1	0
5.5	988.579	0	0	0	0
5.5	2592.096	0	0	0	0
5.5	1942.681	0	0	0	0
5.5	2056.75	0	0	0	0
5.5	1636.07	0	0	0	0
5.5	3108.097	0	0	0	0
10	1812.647	0	1	1	0
10	2886.485	1	1	1	0
10	2610.765	1	1	1	0
10	2384.161	0	1	1	0
7.5	1555.777	0	0	0	0
7.5	2641.577	0	0	0	0
7.5	2568.98	0	0	0	0
7.5	1581.675	0	0	0	0
7.5	2127.864	1	0	1	0
7.5	2828.008	1	0	1	0
7.5	2658.66	1	0	1	0
7.5	2065.278	1	0	1	0
7.5	3004.065	0	0	0	0
7.5	2949.487	1	0	1	0
7.5	2643.423	0	0	0	0
7.5	2330.156	1	0	1	0
7.5	1064.426	1	0	1	0
7.5	2837.681	1	0	1	0
7.5	2200.564	0	0	0	0
7.5	3222.894	0	0	0	0
7.5	1922.504	0	0	0	0
8	1055.065	1	1	1	0
8	2964.1	0	0	0	0
8	3177.781	0	0	0	0
8	3493.258	0	0	0	0
8	4180.609	0	0	0	0
8	3800.284	0	0	0	0
8	3125.882	0	0	0	0
8	3494.688	0	1	1	0
8	2073.417	0	1	1	0
8	1335.908	0	0	0	0
8	3594.118	0	0	0	0
8	3256.28	0	0	0	0
8	2735.442	0	0	0	0
8	2690.954	0	0	0	0
8	3687.411	0	0	0	0
8	2906.351	1	1	1	0
8	3018.755	0	0	0	0
8	1576.605	1	1	1	0
8	3131.238	0	0	0	0
8	3055.522	0	0	0	0
8	2651.301	0	0	0	0
8	2850.759	0	0	0	0
8	3442.321	0	0	0	0
9	871.832	1	1	1	0
9	1952.665	0	0	0	0
9	3039.193	0	0	0	0
9	3727.584	0	0	0	0
9	2356.704	0	0	0	0
9	1311.025	1	0	1	0
9	2130.906	1	0	1	0
9	4441.873	1	0	1	0
9	3805.589	0	0	0	0
9	2745.999	1	0	1	0
9	3514.475	0	0	0	0
9	3037.945	0	0	0	0
9	1274.727	1	0	1	0
9	1766.676	0	0	0	0
9	2746.649	0	1	1	0
9	1778.741	0	0	0	0
9	3403.345	0	0	0	0
9	2919.481	1	1	1	0
9	3197.802	0	0	0	0
9	1495.87	0	0	0	0
9	1871.592	0	1	1	0
9	2823.198	0	0	0	0
9	1634.536	1	0	1	0
9	3512.421	0	1	1	0
9	2914.489	0	0	0	0
9	3118.315	0	0	0	0
9	3714.297	0	1	1	0
9	3567.83	1	1	1	0
8.5	1948.635	1	1	1	0
8.5	2463.154	1	0	1	0
8.5	2887.214	0	0	0	0
8.5	4599.884	0	0	0	0
8.5	3568.038	1	0	1	0
8.5	3990.408	0	0	0	0
8.5	4155.362	0	0	0	0
8.5	3197.23	0	0	0	0
8.5	3531.74	0	0	0	0
8.5	889.903	1	0	1	0
8.5	2533.592	0	0	0	0
8.5	2775.563	0	0	0	0
8.5	3046.889	0	0	0	0
8.5	3967.032	0	0	0	0
8.5	2225.656	0	0	0	0
8.5	1200.648	1	1	1	0
8.5	3611.019	0	1	1	0
9.5	823.387	1	1	1	0
9.5	1418.615	1	0	1	0
9.5	1189.386	1	0	1	0
9.5	4450.219	0	0	0	0
9.5	2192.476	0	0	0	0
9.5	1423.83	0	0	0	0
9.5	1671.306	1	1	1	0
9.5	1172.966	0	0	0	0
9.5	638.259	1	0	1	0
9.5	1908.927	0	0	0	0
9.5	1337.121	1	0	1	0
9.5	4842.739	0	0	0	0
9.5	1816.553	0	1	1	0
9.5	1370.354	0	0	0	0
9.5	1495.174	0	0	0	0
9.5	928.752	0	1	1	0
9.5	892.609	1	1	1	0
9.5	1271.653	0	1	1	0
9.5	1451.342	1	0	1	0
10.5	1246.269	NA	NA	NA	1
10.5	3167.377	1	1	1	0
10.5	3885.627	0	1	1	0
10.5	5554.924	1	1	1	0
10.5	4899.521	0	1	1	0
10.5	4208.945	0	0	0	0
10.5	2375.823	NA	NA	NA	1
10.5	4224.789	1	1	1	0
10.5	3707.966	1	1	1	0
10.5	2537.218	1	1	1	0
10.5	2405.926	0	0	0	0
10.5	3562.626	0	0	0	0
10.5	2913.349	0	1	1	0
10.5	2477.54	0	0	0	0
10.5	4340.448	0	1	1	0
10.5	2833.496	0	1	1	0
10.5	2619.606	0	1	1	0
10.5	5039.263	1	1	1	0
10.5	3379.683	1	1	1	0
10.5	1851.818	NA	NA	NA	1
10.5	1921.636	1	1	1	0
10.5	2891.801	1	1	1	0
10.5	3981.851	0	0	0	0
10.5	2746.144	1	1	1	0
10.5	3329.934	0	0	0	0
10.5	2252.876	0	0	0	0
10	1531.31	NA	NA	NA	1
10	2170.142	1	0	1	0
10	2531.096	0	0	0	0
10	1475.069	0	1	1	0
10	2496.878	0	0	0	0
10	5288.406	0	0	0	0
10	4040.929	0	1	1	0
10	6056.18	1	1	1	0
10	3034.59	1	1	1	0
10	3803.093	0	0	0	0
10	1968.5	1	1	1	0
10	3139.871	1	1	1	0
10	5816.966	1	1	1	0
10	6297.474	0	0	0	0
10	3181.005	0	0	0	0
10	7206.385	1	1	1	0
10	4450.609	0	0	0	0
10	3871.113	1	0	1	0
11	744.339	NA	NA	NA	1
11	2731.885	1	1	1	0
11	4976.205	NA	NA	NA	1
11	2404.236	NA	NA	NA	1
11	2196.894	NA	NA	NA	1
11	2729.139	NA	NA	NA	1
11	3231.491	0	1	1	0
11	3147.731	0	1	1	0
11	2381.104	NA	NA	NA	1
11	2752.165	NA	NA	NA	1
11	3641.422	1	1	1	0
11	4481.458	0	1	1	0
11	3787.501	0	1	1	0
11	2007.72	1	1	1	0
11	2866.029	0	1	1	0
11	2511.446	0	1	1	0
11	4826.112	0	1	1	0
11	3541.712	0	1	1	0
11	4260.701	0	0	0	0
11	3045.803	0	1	1	0
11	4696.51	0	0	0	0
11	4735.908	0	1	1	0
11	3263.707	0	1	1	0
11	4604.088	1	1	1	0
11	5882.996	1	1	1	0
11	4001.075	0	1	1	0
