laser_power	cell_size	recombination
5	5040.732	0
5	1288.368	0
5	4891.382	0
5	2441.501	0
5	2363.521	0
5	3723.757	0
5	3453.679	0
5	1927.796	0
5	4230.392	0
5	5386.121	0
5.5	988.579	0
5.5	2592.096	0
5.5	1942.681	0
5.5	2056.75	0
5.5	1636.07	0
5.5	3108.097	0
5.5	945.713	0
5.5	1986.437	0
5.5	4184.255	0
5.5	3554.308	0
5.5	3066.98	0
5.5	3137.723	0
5.5	4304.325	0
5.5	2920.822	0
5.5	3311.397	0
5.5	706.394	0
5.5	3219.397	0
5.5	5863.667	0
5.5	4189.299	0
5.5	2785.12	0
5.5	5632.269	0
5.5	4964.454	0
5.5	1096.308	0
5.5	2088.365	0
5.5	2753.142	0
5.5	2885.358	0
5.5	3136.112	0
5.5	3917.948	0
5.5	5775.443	0
5.5	3526.793	0
5.5	744.868	0
5.5	3308.73	0
5.5	3225.999	0
5.5	2778.281	0
5.5	3143.955	0
5.5	4189.405	0
5.5	620.072	0
5.5	3204.135	0
5.5	2841.577	0
5.5	2323.671	0
5.5	2703.842	0
5.5	1161.981	0
5.5	2923.093	0
5.5	2426.708	0
5.5	3336.377	0
5.5	3724.602	0
5.5	3275.431	0
5.5	4361.415	0
5.5	1295.253	0
5.5	4872.059	0
6	1129.352	1
6	1905.03	0
6	986.187	0
6	2952.113	0
6	690.814	0
6	3422.092	0
6	491.5	0
6	3074.189	0
6	3035.108	0
6	2538.618	0
6	3549.396	0
6	4352.358	0
6	1788.073	0
6	1051.761	0
6	3804.084	0
6	4442.323	0
6	1542.151	0
6	4032.366	0
6	1980.574	0
6	2888.949	0
6	974.945	0
6	2422.641	0
6	1178.088	0
6	2380.682	0
6	3405.693	0
6	821.657	0
6	4033.66	0
6	3649.185	0
6	4383.781	0
6	4122.887	0
6	4053.518	0
6	3810.924	0
6	3849.873	0
6	3750.084	0
6	909.22	0
6	5184.498	0
6	2535.449	0
6	3210.683	0
6	2720.715	0
6	4860.73	0
6	4346.073	0
6	4185.285	0
6	4087.107	0
6	966.654	0
6	3615.782	0
6	2671.309	0
6	2653.617	0
6	4831.129	0
6	1901.461	0
6	1882.713	0
6.5	1140.923	0
6.5	2478.469	1
6.5	1949.103	0
6.5	3203.783	0
6.5	1039.297	1
6.5	2679.284	0
6.5	2922.908	0
6.5	2884.091	0
6.5	4038.625	0
6.5	4801.739	0
6.5	4196.957	0
6.5	3804.085	0
6.5	2247.806	0
6.5	1347.353	1
6.5	2728.532	0
6.5	3582.008	0
6.5	3298.326	0
6.5	3160.406	0
6.5	3182.033	0
6.5	2926.552	0
6.5	3290.72	0
6.5	1299.769	0
6.5	2211.127	0
6.5	3152.748	0
6.5	4893.026	0
6.5	4277.839	0
6.5	4197.194	0
6.5	4285.761	0
6.5	3862.944	0
6.5	1005.392	0
6.5	2139.118	0
6.5	2651.161	0
6.5	3357.634	0
6.5	2415.089	0
6.5	1412.84	0
6.5	5396.091	0
6.5	4823.682	0
6.5	5447.53	0
6.5	991.502	0
6.5	2898.007	0
6.5	3431.228	0
6.5	3844.037	0
6.5	2037.612	0
6.5	3788.188	0
6.5	4508.101	0
6.5	3742.373	0
6.5	3638.755	0
6.5	449.302	0
6.5	2972.869	0
6.5	4229.463	0
7	795.596	1
7	4114.929	0
7	616.055	1
7	898.276	1
7	3532.208	0
7	3364.966	0
7	2033.017	0
7	2838.989	0
7	765.095	0
7	3213.984	0
7	2983.325	0
7	3929.593	0
